id,supplier,name,active,description,category,timestamp,usda_id,price_per_kg,price_per_unit,usda_weight_unit_g,weight_net_g,price_total,organic,origin,picture
wi235553,NL ah,La Rustichella Zwarte truffelolie met stukjes truffel 100 ml ,1,,Pasta. rijst. internationale keuken/Extra vierge met toevoegingen,,04053,124.9,,,100 ml,12.49,,,https://static.ah.nl/static/product/AHI_434d50313931393035_1_LowRes_JPG.JPG
wi414871,NL ah,Euroma Knoflook 32 g ,1,,Soepen. conserven. sauzen. smaakmakers/Knoflookpoeder,,11215,80,,,32 g,2.56,,,https://static.ahold.com/cmgtcontent/media//001777300/000/001777330_001_414871_708.jpg
wi195011,NL ah,Prins&Dingemanse Mosselkruiden 10 g ,1,,Vlees. kip. vis. vega/Mosselgroente,,15164,71,,,10 g,0.71,,,https://static.ah.nl/static/product/AHI_434d5039333438323137_1_LowRes_JPG.JPG
wi229541,NL ah,Lipton Green tea raspberry - pomegranate 20 stuks ,1,,Frisdrank. sappen. koffie. thee/Groene thee,,14190,69.64,,,20 stuks,1.95,,,https://static.ah.nl/static/product/AHI_434d5035313030363136_1_LowRes_JPG.JPG
wi227440,NL ah,English Tea Shop Green tea biologisch 20 stuks ,1,,Frisdrank. sappen. koffie. thee/Groene thee,,14190,66.5,,,20 stuks,2.66,,,https://static.ah.nl/static/product/AHI_434d50313637313133_2_LowRes_JPG.JPG
wi436433,NL ah,Euroma Zout kristallen 55 g ,1,,Soepen. conserven. sauzen. smaakmakers/Zeezout,,02047,65.27272727,,,55 g,3.59,,,https://static.ahold.com/cmgtcontent/media//001938600/000/001938604_002_436433_708.jpg
wi131982,NL ah,Drogheria Alimentari Knoflook & peper 35 g ,1,,Soepen. conserven. sauzen. smaakmakers/Knoflookpoeder,,11215,61.42857143,,,35 g,2.15,,,https://static.ahold.com/cmgtcontent/media//001542300/000/001542306_002_131982_708.jpg
wi438804,NL ah,Teamasters Blooming bohemian 60 g ,1,,Frisdrank. sappen. koffie. thee/Groene thee,,14190,59.83333333,,,60 g,3.59,,,https://static.ahold.com/cmgtcontent/media//001959400/000/001959462_001_438804_708.jpg
wi438805,NL ah,Teamasters Mediterranean sunshine 60 g ,1,,Frisdrank. sappen. koffie. thee/Groene thee,,14190,59.83333333,,,60 g,3.59,,,https://static.ahold.com/cmgtcontent/media//001959400/000/001959464_001_438805_708.jpg
wi169623,NL ah,Lipton Green tea lemon-melissa 20 stuks ,1,,Frisdrank. sappen. koffie. thee/Groene thee,,14190,59.06,,,20 stuks,1.89,,,https://static.ahold.com/cmgtcontent/media//001355600/000/001355694_002_169623_708.jpg
