id,supplier,name,active,description,category,timestamp,usda_id,price_per_kg,price_per_unit,usda_weight_unit_g,weight_net_g,price_total,organic,origin,picture
wi415609/ah-pijnboompitten,NL ah,AH Pijnboompitten 150 g,1,,Soepen. conserven. sauzen. smaakmakers/Pijnboompit,0,12147,32.87,,0,150,4.93,,,https://static.ah.nl/static/product/AHI_43545236323332383034_1_LowRes_JPG.JPG
wi238973/ah-selderij,NL ah,AH Selderij 40 g,1,,Soepen. conserven. sauzen. smaakmakers/Selderij (v,0,11143,25,,0,40,1,,,https://static.ah.nl/static/product/AHI_434d50323032313734_3_LowRes_JPG.JPG
wi397901/ah-ongebrande-pecannoten,NL ah,AH Ongebrande pecannoten 200 g,1,,Snoep. koek. chips/Pecannoten (zakje),0,12142,19.5,,0,200,3.9,,,https://static.ah.nl/static/product/AHI_434d50323539303630_1_LowRes_JPG.JPG
wi170806/ah-gerookte-forelfilet,NL ah,AH Gerookte forelfilet 125 g,1,,Vlees. kip. vis. vega/Gerookte forel. haring,0,15240,16.4,,0,125,2.05,,,https://static.ah.nl/static/product/AHI_434d50303035363831_5_LowRes_JPG.JPG
73205PAK,NL jumbo,Jumbo Verse Vijgen 4 Stuks,1,,Fruit,0,09089,14.95,,200,0,2.99,,,https://static-images.jumbo.com/product_images/121120182205_73205PAK-1_720x720.png
wi397907/ah-ongebrande-walnoten,NL ah,AH Ongebrande walnoten 200 g,1,,Snoep. koek. chips/Walnoten (zakje),0,12155,14.25,,0,200,2.85,,,https://static.ah.nl/static/product/AHI_434d50323539303532_1_LowRes_JPG.JPG
190616ZK,NL jumbo,Jumbo Sojaboontjes Groente Variatie 175g,1,,Groente,0,16108,13.71,,0,175,2.4,,,https://static-images.jumbo.com/product_images/190616ZK-1_720x720.png
wi161587/ah-basic-pistachenoten,NL ah,AH BASIC Pistachenoten 250 g,1,,Snoep. koek. chips/Pistachenoten (zakje),0,12151,13.56,,0,250,3.39,,,https://static.ah.nl/static/product/AHI_434d50303739323436_1_LowRes_JPG.JPG
wi443649/ah-kalkoenfiletreepjes,NL ah,AH Kalkoenfiletreepjes 200 g,1,,Vlees. kip. vis. vega/Kalkoen - reepjes,0,05167,12.85,,0,200,2.57,,,https://static.ah.nl/static/product/AHI_43545236313436323539_1_LowRes_JPG.JPG
wi407281/ah-basic-cashew-noten-gezouten,NL ah,AH BASIC Cashew noten gezouten 500 g,1,,Snoep. koek. chips/Cashewnoten (groot),0,12087,11.96,,0,500,5.98,,,https://static.ah.nl/static/product/AHI_434d50323739373035_1_LowRes_JPG.JPG
wi183607/princes-makreel-in-zonnebloemolie,NL ah,Princes Makreel in zonnebloemolie 125 g,1,,Soepen. conserven. sauzen. smaakmakers/Makreel (co,0,15046,11.92,,0,125,1.49,,,https://static.ah.nl/static/product/AHI_434d50323733303332_1_LowRes_JPG.JPG
wi168091/ah-veldsla-voordeel,NL ah,AH Veldsla voordeel 150 g,1,,Aardappel. groente. fruit/Veldsla,0,11253,11.6,,0,150,1.74,,,https://static.ah.nl/static/product/AHI_434d50323130303637_2_LowRes_JPG.JPG
wi402036/ah-garnalen-in-bladerdeeg-met-chilisaus,NL ah,AH Garnalen in bladerdeeg met chilisaus 300 g,1,,Vlees. kip. vis. vega/Garnalen (diepvries),0,15270,10.23,,0,300,3.07,,,https://static.ah.nl/static/product/AHI_434d50323638303533_1_LowRes_JPG.JPG
wi183621/princes-roze-zalm,NL ah,Princes Roze zalm 418 g,1,,Soepen. conserven. sauzen. smaakmakers/Zalm (conse,0,15077,10.02,,0,418,4.19,,,https://static.ah.nl/static/product/AHI_434d5031303536313034_1_LowRes_JPG.JPG
wi401788/ah-zongerijpt-watermeloen,NL ah,AH Zongerijpt watermeloen 200 g,1,,Aardappel. groente. fruit/Watermeloen (stukjes),0,09326,10,,0,200,2,,,https://static.ah.nl/static/product/AHI_434d5035363537323830_1_LowRes_JPG.JPG
wi447160/ah-zongerijpt-watermeloen,NL ah,AH Zongerijpt watermeloen 225 g,1,,Aardappel. groente. fruit/Watermeloen (stukjes),0,09326,10,,0,225,2.25,,,https://static.ah.nl/static/product/AHI_43545236313839323431_2_LowRes_JPG.JPG
wi447161/ah-zongerijpt-watermeloen,NL ah,AH Zongerijpt watermeloen 300 g,1,,Aardappel. groente. fruit/Watermeloen (stukjes),0,09326,10,,0,300,3,,,https://static.ah.nl/static/product/AHI_43545236313839323432_2_LowRes_JPG.JPG
wi451669/statesman-tonijn-stukken-in-olijfolie-160,NL ah,Statesman Tonijn stukken in olijfolie 160gr 160 g,1,,Soepen. conserven. sauzen. smaakmakers/Tonijn in o,0,15119,9.94,,0,160,1.59,,,
wi169609/ah-varkenslever,NL ah,AH Varkenslever 150 g,1,,Kaas. vleeswaren. delicatessen/Varkenslever (voorv,0,10110,9.93,,0,150,1.49,,,https://static.ah.nl/static/product/AHI_434d50303430313538_4_LowRes_JPG.JPG
wi426106/ah-gezouten-amandelen,NL ah,AH Gezouten amandelen 150 g,1,,Snoep. koek. chips/Amandelen (zakje),0,12061,9.93,,0,150,1.49,,,https://static.ah.nl/static/product/AHI_434d5031393436383138_1_LowRes_JPG.JPG
200558ZK,NL jumbo,Jumbo Wilde Zalmfilet 500g,1,,Diepvries,0,15076,9.78,,0,500,4.89,,,https://static-images.jumbo.com/product_images/200558ZK-1_720x720.png
wi792/ah-kabeljauw,NL ah,AH Kabeljauw 400 g,1,,Vlees. kip. vis. vega/Kabeljauw (diepvries),0,15015,8.23,,0,400,3.29,,,https://static.ah.nl/static/product/AHI_434d50303035343036_1_LowRes_JPG.JPG
wi435952/ah-biologisch-drie-kleuren-quinoa,NL ah,AH Biologisch Drie kleuren quinoa 300 g,1,,Pasta. rijst. internationale keuken/Quinoa,0,20035,8.2,,0,300,2.46,,,https://static.ah.nl/static/product/AHI_434d5037333731393434_2_LowRes_JPG.JPG
wi435956/ah-biologisch-quinoa,NL ah,AH Biologisch Quinoa 300 g,1,,Pasta. rijst. internationale keuken/Quinoa,0,20035,8.2,,0,300,2.46,,,https://static.ah.nl/static/product/AHI_434d5037333732313538_2_LowRes_JPG.JPG
wi435954/ah-biologisch-quinoa-plus,NL ah,AH Biologisch Quinoa plus 300 g,1,,Pasta. rijst. internationale keuken/Quinoa,0,20035,8.2,,0,300,2.46,,,https://static.ah.nl/static/product/AHI_434d5037333731393438_2_LowRes_JPG.JPG
wi435969/ah-biologisch-rijst-en-quinoa,NL ah,AH Biologisch Rijst & quinoa 300 g,1,,Pasta. rijst. internationale keuken/Quinoa,0,20035,8.2,,0,300,2.46,,,https://static.ah.nl/static/product/AHI_434d5037333731373336_2_LowRes_JPG.JPG
wi435967/ah-witte-quinoa,NL ah,AH Witte quinoa 300 g,1,,Pasta. rijst. internationale keuken/Quinoa,0,20035,8.2,,0,300,2.46,,,https://static.ah.nl/static/product/AHI_434d5037343734373735_1_LowRes_JPG.JPG
wi124431/ah-hazelnoten,NL ah,AH Hazelnoten 250 g,1,,Snoep. koek. chips/Hazelnoten (zakje),0,12120,8.2,,0,250,2.05,,,https://static.ah.nl/static/product/AHI_434d50303434303630_3_LowRes_JPG.JPG
wi129225/ah-kipfilet,NL ah,AH Kipfilet 1000 g,1,,Vlees. kip. vis. vega/Kipfilet - stuk,0,05314,7.5,,0,1000,7.5,,,https://static.ah.nl/static/product/AHI_434d50303134363932_7_LowRes_JPG.JPG
wi426528/cap-gunpowder-china-green-tea,NL ah,CAP Gunpowder China green tea 250 g,1,,Frisdrank. sappen. koffie. thee/Groene thee,0,14190,7.36,,0,250,1.84,,,https://static.ahold.com/cmgtcontent/media//001894400/000/001894408_003_426528_708.jpg
wi434477/bonduelle-edamame-bonen,NL ah,Bonduelle Edamame bonen 300 g,1,,Aardappel. groente. fruit/Peultjes (diepvries),0,11211,6.83,,0,300,2.05,,,https://static.ahold.com/cmgtcontent/media//001913300/000/001913312_002_434477_708.jpg
wi415004/la-morena-mais-tortilla-wraps,NL ah,La Morena Mais tortilla wraps 8 stuks,1,,Pasta. rijst. internationale keuken/Tortilla. wrap,0,18363,6.41,,0,8,2.05,,,https://static.ah.nl/static/product/AHI_434d50353939353635_1_LowRes_JPG.JPG
wi168502/ah-biologisch-eieren,NL ah,AH Biologisch Eieren 10 stuks,1,,Zuivel. eieren/Vrije uitloop eieren,0,01123,6.36,,58,10,3.69,,,https://static.ah.nl/static/product/AHI_434d50323030303439_2_LowRes_JPG.JPG
wi226267/statesman-sardines-in-zonnebloemolie,NL ah,Statesman Sardines in zonnebloemolie 120 g,1,,Soepen. conserven. sauzen. smaakmakers/Sardines (c,0,15088,6.25,,0,120,0.75,,,https://static.ahold.com/cmgtcontent/media//001127300/000/001127360_001_226267_708.jpg
wi188608/aarts-hollandse-asperges,NL ah,Aarts Hollandse asperges 530 g,1,,Aardappel. groente. fruit/Asperges (conserven),0,11011,6.11,,0,530,3.24,,,https://static.ahold.com/cmgtcontent/media//001316000/000/001316054_002_188608_708.jpg
204202STK,NL jumbo,Jumbo Cranberry's Vriesvers 250g,1,,Diepvries,0,09078,5.96,,0,250,1.49,,,https://static-images.jumbo.com/product_images/150920180622_204202STK-1_720x720.png
73206PAK,NL jumbo,Jumbo Granaatappel 2 Stuks,1,,Fruit,0,09286,5.64,,282,2,3.18,,,https://static-images.jumbo.com/product_images/73206PAK-1_720x720.png
wi162598/ah-basic-olijfolie-extra-vierge,NL ah,AH BASIC Olijfolie extra vierge 1 l,1,,Pasta. rijst. internationale keuken/Extra vierge d,0,04053,4.99,,0,1,4.99,,,https://static.ah.nl/static/product/AHI_434d50313036313237_1_LowRes_JPG.JPG
wi196282/ah-basic-tablet-puur,NL ah,AH BASIC Tablet puur 100 g,1,,Snoep. koek. chips/Pure chocolade,0,19902,4.9,,0,100,0.49,,,https://static.ah.nl/static/product/AHI_434d50303930383537_2_LowRes_JPG.JPG
wi169176/ah-half-om-half-gehakt,NL ah,AH Half om half gehakt 1 kg,1,,Vlees. kip. vis. vega/Gehakt (half-om-half),0,10972,4.59,,0,1,4.59,,,https://static.ah.nl/static/product/AHI_434d50313232363630_2_LowRes_JPG.JPG
wi195912/de-zaanse-hoeve-sour-cream,NL ah,De Zaanse Hoeve Sour cream 125 g,1,,Zuivel. eieren/Zure room,0,01056,4.56,,0,125,0.57,,,https://static.ah.nl/static/product/AHI_434d50303338373038_1_LowRes_JPG.JPG
wi197685/ouwehand-zure-haring-emmer,NL ah,Ouwehand Zure haring emmer 870 g,1,,Soepen. conserven. sauzen. smaakmakers/Haring (con,0,15041,4.49,,0,870,3.91,,,https://static.ah.nl/static/product/AHI_434d50303430313635_1_LowRes_JPG.JPG
