id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
16016,Black beans,1,Beans. black turtle. mature seeds. raw,,,339,21.25,0.9,63.25,15.5,11,160,8.7,160,440,1500,9,2.2,1,,1,3.2,0,0.9,0.193,1.955,0.899,0.286,444,0,0,0,0.21,0,5.6,0.176,0.211,0.078,0.387,0.232,0,1.149,1.112,0.894,0.252,0.32,1.697,0.938,1.459,0.592
18053,Bread. rye,1,Bread. reduced-calorie. rye,,,203,9.1,2.9,40.5,12,46,76,3.1,22,78,98,513,0.66,0.133,,0.453,27.9,0.4,0.367,0.24,2.527,0.297,0.077,58,14.6,0.04,0,0.28,0,0.6,0.041,0.71,0.672,0.752,0.368,0,0.457,0.415,0.284,0.11,0.155,0.638,0.357,0.321,0.208
18075,Bread. whole-wheat,1,Bread. whole-wheat. commercially prepared,,,252,12.45,3.5,42.71,6,39.01,161,2.47,75,212,254,455,1.77,0.227,,2.174,25.7,0,0.394,0.167,4.438,0.646,0.215,42,27.2,0,0,2.66,0,7.8,0.139,1.446,0.62,1.592,0.722,0.02,0,0,0,0,0,0,0,0,0
20012,Bulgur,1,Bulgur. dry,,,342,12.29,1.33,75.87,12.5,9,35,2.46,164,300,410,17,1.93,0.335,,3.048,2.3,0,0.232,0.115,5.114,1.045,0.342,27,28.1,0,0,0.06,0,1.9,0.023,0.518,0.173,0.541,0.232,0,0.58,0.554,0.354,0.19,0.19,0.83,0.455,0.339,0.285
16056,Chickpeas (garbanzo),1,Chickpeas (garbanzo beans. bengal gram). mature seeds. raw,,,378,20.47,6.04,62.95,12.2,7.68,57,4.31,79,252,718,24,2.76,0.656,,21.306,0,4,0.477,0.212,1.541,1.588,0.535,557,99.3,0,3,0.82,0,9,0.102,2.629,1.377,2.731,0.603,0,1.103,0.865,0.766,0.2,0.27,1.465,0.882,1.377,0.566
18363,Corn tortilla,1,Tortillas. ready-to-bake or -fry. corn,,,218,5.7,2.85,44.64,6.3,45.89,81,1.23,72,314,186,45,1.31,0.154,,0.326,6.1,0,0.094,0.065,1.498,0.109,0.219,5,13.3,0,0,0.28,0,0,0.034,1.385,0.692,1.419,0.453,0,0.285,0.294,0.218,0.042,0.121,0.711,0.208,0.163,0.177
20028,Couscous,1,Couscous. dry,,,376,12.76,0.64,77.43,5,8.56,24,1.08,44,170,166,10,0.83,0.247,,0.78,0,0,0.163,0.078,3.49,1.243,0.11,20,0,0,0,0,0,0,0.012,0.24,0.089,0.252,0.117,0,0.62,0.544,0.337,0.163,0.199,0.872,0.493,0.245,0.259
16062,Cowpeas,1,Cowpeas. common (blackeyes. crowder. southern). mature seeds. raw,,,336,23.52,1.26,60.03,10.6,11.95,110,8.27,184,424,1112,16,3.37,0.845,,1.528,9,1.5,0.853,0.226,2.075,1.496,0.357,633,94.7,0,3,0.39,0,5,0.199,0.343,0.106,0.542,0.331,0,1.373,1.121,0.895,0.29,0.335,1.802,0.956,1.591,0.73
08037,Granola cereals,1,Cereals ready-to-eat. granola. homemade,,,489,13.67,24.31,53.88,8.9,5.84,76,3.95,168,431,539,26,4.17,0.647,,3.996,25.4,1.2,0.548,0.354,2.739,0.752,0.37,84,49.2,0,1,11.1,0,5.3,0.611,7.194,10.951,7.809,3.957,0.023,0.668,0.698,0.479,0.186,0.225,0.977,0.546,0.631,0.349
16027,Kidney beans,1,Beans. kidney. all types. mature seeds. raw,,,333,23.58,0.83,60.01,24.9,11.75,143,8.2,140,407,1406,24,2.79,0.958,,1.021,3.2,4.5,0.529,0.219,2.06,0.78,0.397,394,0,0,0,0.22,0,19,0.279,0.178,0.064,0.457,0.12,0,1.275,1.233,0.992,0.279,0.355,1.882,1.041,1.618,0.656
